track_name,artists_name,year,acousticness,danceability,energy,loudness,tempo,valence
Just My Imagination (Running Away With Me),The Temptations,1971,0.88,0.425,0.242,-15.424,92.472,0.477
Brown Sugar - 2009 Mix,The Rolling Stones,1971,0.219,0.633,0.934,-3.594,128.606,0.963
Its Too Late,Carole King,1971,0.498,0.45,0.441,-12.718,208.282,0.811
Behind Blue Eyes,The Who,1971,0.213,0.394,0.622,-8.258,126.844,0.342
Cant You Hear Me Knocking - 2009 Mix,The Rolling Stones,1971,0.408,0.545,0.757,-5.228,152.217,0.714
Peace Train,Yusuf / Cat Stevens,1971,0.119,0.61,0.582,-10.422,82.492,0.781
I Feel the Earth Move,Carole King,1971,0.648,0.711,0.576,-8.784,120.116,0.645
Life on Mars? - 2015 Remaster,David Bowie,1971,0.639,0.442,0.384,-14.635,123.281,0.216
Stay With Me,Faces,1971,0.0969,0.458,0.869,-8.381,91.39,0.813
Youve Got a Friend - 2019 Remaster,James Taylor,1971,0.795,0.689,0.2,-18.634,91.787,0.478
Never Been To Spain - Single Version,Three Dog Night,1971,0.58,0.517,0.502,-15.014,88.762,0.727
California,Joni Mitchell,1971,0.905,0.464,0.328,-9.005,70.859,0.784
Vincent,Don McLean,1971,0.908,0.419,0.085,-19.387,91.509,0.458
Can You Get to That,Funkadelic,1971,0.539,0.689,0.83,-8.774,140.732,0.815
Whats Going On,Marvin Gaye,1971,0.0991,0.265,0.824,-5.654,203.206,0.811
The Wind,Yusuf / Cat Stevens,1971,0.927,0.758,0.187,-18.963,115.75,0.78
Wont Get Fooled Again - Remix,The Who,1971,0.256,0.702,0.841,-9.837,134.919,0.271
Rock and Roll - Remaster,Led Zeppelin,1971,0.000582,0.317,0.887,-7.292,169.613,0.871
Where You Lead,Carole King,1971,0.763,0.784,0.459,-10.446,106.957,0.931
When the Levee Breaks - Remaster,Led Zeppelin,1971,0.00217,0.271,0.766,-8.03,142.914,0.803
Roundabout - 2003 Remaster,Yes,1971,0.0682,0.41,0.761,-9.453,132.889,0.391
L.A. Woman,The Doors,1971,0.0817,0.354,0.731,-9.178,170.64,0.698
Love Her Madly,The Doors,1971,0.0573,0.564,0.587,-7.393,147.462,0.966
Stairway to Heaven - 1990 Remaster,Led Zeppelin,1971,0.575,0.346,0.335,-12.453,84.204,0.213
Aqualung,Jethro Tull,1971,0.0649,0.477,0.479,-11.887,122.531,0.662
Children of the Grave - 2014 Remaster,Black Sabbath,1971,0.0802,0.318,0.65,-13.928,149.994,0.368
Angel from Montgomery,John Prine,1971,0.541,0.617,0.421,-14.231,131.653,0.39
So Far Away,Carole King,1971,0.895,0.488,0.172,-14.264,143.631,0.362
Changes - 2015 Remaster,David Bowie,1971,0.505,0.547,0.308,-11.75,114.719,0.41
Strawberry Letter 23,Shuggie Otis,1971,0.139,0.519,0.483,-12.795,171.028,0.772
Youve Got a Friend,Carole King,1971,0.88,0.474,0.263,-10.684,168.683,0.458
Mr. Big Stuff,Jean Knight,1971,0.29,0.886,0.491,-12.589,93.236,0.971
Honky Tonk Women - Mono Version,The Rolling Stones,1971,0.363,0.562,0.779,-6.705,119.602,0.967
Sunshine On My Shoulders,John Denver,1971,0.915,0.322,0.168,-13.893,146.68,0.259
Take This Job and Shove It,Johnny Paycheck,1971,0.562,0.764,0.455,-10.336,137.148,0.707
I Want You Back,The Jackson 5,1971,0.441,0.667,0.669,-6.264,98.264,0.947
A Song for You,Donny Hathaway,1971,0.822,0.315,0.22,-13.156,88.045,0.0723
Thank You - Remastered,Bonnie Raitt,1971,0.793,0.67,0.279,-15.589,77.82,0.552
Sweet Leaf - 2014 Remaster,Black Sabbath,1971,0.00183,0.362,0.6,-12.285,148.462,0.658
Morning Has Broken,Yusuf / Cat Stevens,1971,0.622,0.424,0.321,-13.162,133.126,0.405
Kiss an Angel Good Mornin,Charley Pride,1971,0.581,0.665,0.512,-10.704,130.578,0.87
Love the One Youre With,The Isley Brothers,1971,0.367,0.75,0.78,-7.861,94.864,0.738
Grandmas Hands,Bill Withers,1971,0.598,0.731,0.311,-14.939,82.366,0.574
Without You,Harry Nilsson,1971,0.612,0.392,0.185,-15.472,64.933,0.145
The Little Drummer Boy - 1965 Version,Harry Simeone Chorale,1971,0.963,0.414,0.062,-24.57,112.356,0.126
Coconut,Harry Nilsson,1971,0.389,0.653,0.494,-14.79,137.463,0.905
Mercy Mercy Me (The Ecology),Marvin Gaye,1971,0.373,0.499,0.633,-12.145,93.238,0.474
Sweet Thang,Shuggie Otis,1971,0.0965,0.432,0.518,-13.403,142.735,0.339
Fearless,Pink Floyd,1971,0.16,0.38,0.341,-15.719,143.719,0.179
Levon,Elton John,1971,0.15,0.305,0.594,-10.499,145.77,0.426
The Seeker - Edit,The Who,1971,0.101,0.318,0.657,-11.829,177.477,0.753
(You Make Me Feel Like) A Natural Woman,Carole King,1971,0.953,0.624,0.158,-13.059,85.492,0.303
Walk Away,James Gang,1971,0.018,0.6,0.843,-7.455,102.323,0.916
Im the Only Hell (Mama Ever Raised),Johnny Paycheck,1971,0.0597,0.783,0.633,-11.076,110.182,0.936
Jealous Guy - Remastered 2010,John Lennon,1971,0.877,0.489,0.389,-11.653,131.366,0.254
Coat of Many Colors,Dolly Parton,1971,0.93,0.624,0.257,-13.341,85.617,0.681
Sunshine (Go Away Today),Jonathan Edwards,1971,0.335,0.705,0.359,-15.388,125.31,0.837
Man in Black,Johnny Cash,1971,0.589,0.676,0.58,-14.217,95.358,0.89
Inner City Blues (Make Me Wanna Holler),Marvin Gaye,1971,0.705,0.641,0.605,-9.177,94.075,0.64
Moonshadow,Yusuf / Cat Stevens,1971,0.712,0.641,0.297,-11.316,130.658,0.511
Baby Blue - Remastered 2010,Badfinger,1971,0.0186,0.623,0.877,-7.788,124.432,0.517
The Revolution Will Not Be Televised,Gil Scott-Heron,1971,0.535,0.558,0.677,-12.38,180.685,0.96
Going Down,Freddie King,1971,0.0339,0.565,0.526,-11.352,167.936,0.637
Family Affair - Single Version,Sly & The Family Stone,1971,0.669,0.819,0.605,-13.83,108.892,0.797
Your Mama Dont Dance,Loggins & Messina,1971,0.0471,0.545,0.816,-7.37,146.211,0.962
Echoes,Pink Floyd,1971,0.366,0.285,0.322,-16.58,134.042,0.142
Going to California - 1990 Remaster,Led Zeppelin,1971,0.892,0.495,0.237,-17.701,77.376,0.541
Dead Flowers - 2009 Mix,The Rolling Stones,1971,0.33,0.54,0.862,-4.599,130.34,0.931
Dont Pull Your Love Out,"Hamilton, Joe Frank & Reynolds",1971,0.618,0.618,0.833,-4.007,100.29,0.896
Te Solt̩ la Rienda,Jos̩ Alfredo Jimenez,1971,0.182,0.448,0.316,-13.422,151.258,0.784
I Am...I Said - Single Version,Neil Diamond,1971,0.141,0.246,0.375,-14.409,90.53,0.511
